epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
79.000000,25.144751,84.139999
80.000000,28.971863,80.720001
81.000000,26.043688,82.739998
82.000000,26.258780,82.690002
83.000000,25.267431,83.360001
84.000000,25.737053,83.150002
85.000000,25.178310,83.220001
86.000000,27.693535,81.660004
87.000000,30.229322,80.029999
88.000000,23.566460,85.089996
89.000000,26.414099,82.959999
90.000000,25.735476,83.500000
91.000000,24.293928,84.419998
92.000000,27.458914,81.699997
93.000000,27.873728,81.570000
94.000000,24.278393,83.860001
95.000000,24.659241,84.099998
96.000000,27.410141,82.059998
97.000000,28.222330,81.260002
98.000000,23.912819,84.629997
99.000000,28.021816,81.139999
100.000000,25.650410,83.290001
101.000000,23.718393,84.720001
102.000000,24.326965,84.150002
103.000000,25.332209,83.550003
104.000000,26.759382,81.779999
105.000000,24.127251,85.209999
106.000000,26.968422,82.290001
107.000000,25.637672,83.040001
108.000000,24.832285,83.900002
109.000000,24.211088,83.959999
110.000000,25.848949,83.129997
111.000000,24.050690,84.239998
112.000000,27.496254,81.639999
113.000000,24.188520,83.800003
114.000000,26.431293,82.760002
115.000000,24.227375,83.940002
116.000000,23.455030,85.050003
117.000000,24.634953,83.839996
118.000000,24.480974,84.339996
119.000000,24.968153,84.120003
120.000000,22.819670,85.320000
121.000000,25.976522,83.330002
122.000000,23.877115,84.419998
123.000000,29.228094,80.779999
124.000000,26.003031,82.500000
125.000000,24.913500,83.959999
126.000000,24.702728,83.930000
127.000000,24.126728,84.129997
128.000000,24.993986,83.010002
129.000000,30.126255,79.769997
130.000000,28.788298,80.480003
131.000000,23.166891,85.209999
132.000000,28.140026,81.769997
133.000000,24.977783,83.080002
134.000000,27.939482,80.949997
135.000000,28.350708,80.589996
136.000000,29.466326,80.089996
137.000000,23.549185,84.550003
138.000000,24.675503,84.349998
139.000000,24.657597,83.720001
140.000000,24.627487,84.209999
141.000000,27.375875,81.629997
142.000000,25.463213,82.970001
143.000000,25.523811,83.339996
144.000000,26.720123,82.500000
145.000000,24.726221,83.639999
146.000000,26.672251,81.690002
147.000000,24.627851,84.040001
148.000000,26.039530,82.779999
149.000000,23.490431,84.629997
150.000000,24.522902,84.089996
151.000000,24.982391,83.889999
152.000000,24.189178,84.410004
153.000000,23.496294,84.809998
154.000000,30.562191,79.139999
155.000000,33.316975,77.150002
156.000000,23.339872,85.099998
157.000000,26.047594,82.839996
158.000000,25.754740,82.970001
159.000000,22.421339,85.430000
160.000000,23.455889,84.639999
161.000000,25.011641,83.500000
162.000000,24.531679,83.570000
163.000000,25.424536,83.059998
164.000000,24.441967,83.919998
165.000000,25.233818,83.379997
166.000000,25.749931,82.820000
167.000000,23.485830,84.800003
168.000000,26.700817,82.419998
169.000000,24.562243,83.820000
170.000000,24.599958,84.339996
171.000000,23.969841,84.070000
172.000000,24.045126,84.209999
173.000000,25.973213,82.699997
174.000000,23.131908,85.050003
175.000000,23.829868,84.779999
176.000000,24.124443,84.120003
177.000000,23.958246,84.430000
178.000000,24.598623,84.440002
179.000000,25.199389,83.489998
180.000000,22.318605,85.639999
181.000000,24.991774,83.349998
182.000000,28.385454,80.809998
183.000000,23.688227,84.809998
184.000000,23.242544,85.180000
185.000000,24.392952,84.300003
186.000000,25.878717,82.959999
187.000000,23.068428,85.209999
188.000000,24.682661,83.699997
189.000000,22.602558,85.410004
190.000000,30.950090,78.730003
191.000000,25.363773,83.309998
192.000000,26.194632,82.820000
193.000000,27.913652,81.309998
194.000000,21.819571,86.000000
195.000000,24.196743,84.480003
196.000000,23.043169,85.199997
197.000000,30.306084,79.129997
198.000000,25.465927,83.709999
199.000000,23.836567,84.989998
200.000000,17.356789,88.650002
201.000000,16.968485,88.709999
202.000000,16.012680,89.419998
203.000000,15.945947,89.650002
204.000000,15.495480,89.989998
205.000000,15.321399,90.199997
206.000000,15.470366,89.970001
207.000000,15.500176,89.580002
208.000000,15.382504,89.930000
209.000000,14.687411,90.589996
210.000000,15.020146,90.239998
211.000000,14.755569,90.489998
212.000000,15.292204,89.919998
213.000000,15.150075,89.970001
214.000000,15.490775,89.669998
215.000000,14.492974,90.540001
216.000000,14.453248,90.589996
217.000000,14.617646,90.430000
218.000000,14.979737,90.379997
219.000000,14.719166,90.540001
220.000000,14.917642,90.089996
221.000000,14.606107,90.529999
222.000000,14.743675,90.629997
223.000000,14.712553,90.349998
224.000000,14.880873,90.230003
225.000000,14.900973,90.199997
226.000000,14.275658,90.820000
227.000000,14.339425,90.839996
228.000000,14.563588,90.580002
229.000000,14.723731,90.389999
230.000000,14.048011,90.919998
231.000000,14.237706,90.779999
232.000000,14.217569,90.879997
233.000000,14.353630,90.830002
234.000000,14.380053,90.660004
235.000000,14.461409,90.690002
236.000000,14.092948,91.019997
237.000000,14.944891,90.540001
238.000000,14.223395,90.820000
239.000000,14.093498,90.919998
240.000000,14.515556,90.680000
241.000000,14.168668,90.849998
242.000000,13.865297,90.889999
243.000000,14.067110,91.050003
244.000000,14.012553,91.099998
245.000000,14.197533,90.820000
246.000000,14.413498,90.489998
247.000000,14.705759,90.580002
248.000000,14.522367,90.529999
249.000000,13.937104,90.870003
250.000000,13.938353,90.830002
251.000000,13.937336,90.870003
252.000000,13.936664,90.820000
253.000000,13.937623,90.809998
254.000000,13.936711,90.809998
255.000000,13.938182,90.830002
256.000000,13.936705,90.849998
