1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.000543,0.001243,0.000792,0.000464,0.000015,0.000269,0.000100,0.000165,0.024427,0.015080,0.018408,0.012572,0.011981,0.013410,0.005849,0.010053
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
0.000543,0.001243,0.000792,0.000464,0.000015,0.000269,0.000100,0.000165,0.024427,0.015080,0.018408,0.012572,0.011981,0.013410,0.005849,0.010053
-0.005190,0.000746,0.000219,0.000181,0.000194,0.000154,0.000030,0.000073,0.032931,0.016794,0.015025,0.017114,0.016864,0.013387,0.006296,0.009882
-0.002785,0.001806,0.000550,0.000996,0.000054,0.000597,0.000011,0.000098,0.031275,0.020414,0.019075,0.018312,0.013017,0.015515,0.006465,0.007714
0.000850,-0.000578,-0.000379,-0.000353,0.000021,-0.000270,0.000017,-0.000122,0.029703,0.019043,0.018384,0.019285,0.012774,0.015718,0.006245,0.010769
-0.002441,-0.000293,-0.000567,-0.000308,-0.000019,-0.000154,-0.000001,-0.000476,0.029577,0.014420,0.020529,0.015490,0.013650,0.010923,0.006486,0.011446
0.000109,0.001112,0.000369,-0.000697,-0.000591,-0.000213,-0.000017,0.000171,0.030559,0.019871,0.019872,0.020956,0.020224,0.018011,0.008552,0.008239
-0.003111,-0.000366,-0.000612,-0.000153,-0.000109,0.000002,0.000034,-0.000073,0.030623,0.021423,0.020791,0.014166,0.019433,0.016927,0.008632,0.008603
0.000488,-0.000331,-0.000363,0.000497,-0.000198,0.000400,0.000044,-0.000049,0.026832,0.023434,0.018277,0.018883,0.018316,0.015630,0.007284,0.010372
-0.000271,0.000068,0.000259,0.000026,0.000293,0.000224,0.000037,-0.000140,0.034174,0.016475,0.017180,0.021543,0.022066,0.017578,0.006539,0.008842
