   0.08405,  -0.42371,   0.41191,   0.42054,   0.17111,   0.09638,   0.68238,  -0.48109,   0.14539,   0.36502
  -0.02013,   0.93750,  -0.93750,   0.42347,   0.30452,   0.29604,   0.48940,   0.93750,   0.87856,  -0.73343
   0.93750,   0.93750,  -0.08653,   0.36993,  -0.88633,  -0.30893,   0.93750,  -0.01423,   0.93750,   0.93750
  -0.93750,  -0.00682,  -0.35550,   0.32846,  -0.76958,  -0.18591,   0.11188,  -0.21731,  -0.30284,  -0.74686
   0.70973,   0.64562,  -0.67882,  -0.93750,   0.93530,  -0.81122,   0.89041,   0.93750,   0.87757,  -0.72917
  -0.84758,  -0.16155,   0.44806,   0.09217,   0.93750,   0.93750,  -0.93750,  -0.75575,  -0.73625,   0.47677
   0.19650,   0.48694,  -0.80252,   0.27460,   0.07948,  -0.76557,  -0.31892,   0.85753,   0.26470,  -0.93750
   0.01874,   0.17547,   0.08175,   0.43483,   0.06496,   0.63512,  -0.68780,   0.56880,   0.03515,   0.20744
  -0.93750,  -0.87398,   0.93750,  -0.93750,   0.93750,  -0.89173,  -0.63829,  -0.93750,  -0.93750,   0.65654
  -0.40329,   0.93750,  -0.78416,   0.55705,   0.93750,  -0.88772,  -0.27664,  -0.93750,  -0.93750,  -0.80322
  -0.64009,  -0.81350,   0.93750,   0.93750,  -0.62952,   0.93750,  -0.63496,  -0.45185,  -0.08397,  -0.48552
   0.53365,   0.67616,  -0.87496,   0.81815,   0.65300,  -0.11291,  -0.93750,  -0.23563,  -0.78230,   0.54778
  -0.43557,   0.57613,  -0.16450,   0.23069,   0.30610,  -0.35191,  -0.45381,   0.43275,  -0.74809,   0.38284
   0.81355,   0.87762,  -0.55504,  -0.39707,   0.68027,  -0.04304,  -0.70549,  -0.03986,   0.56023,  -0.43065
   0.93750,   0.93750,   0.93750,   0.13484,   0.93750,   0.39454,  -0.74876,  -0.90441,   0.93750,   0.93750
   0.08573,   0.16774,  -0.76463,  -0.93750,   0.93750,   0.91901,   0.93750,   0.93750,  -0.93750,  -0.07428
  -0.93750,  -0.19615,  -0.86763,   0.93750,  -0.87486,   0.87820,   0.69185,  -0.80693,   0.43548,  -0.30859
  -0.38974,   0.93750,  -0.54941,  -0.66094,  -0.93750,   0.35502,  -0.93750,  -0.79635,   0.23177,  -0.63057
   0.11071,   0.86580,   0.15353,   0.93750,  -0.12328,  -0.93750,  -0.69328,  -0.20211,  -0.25017,   0.86899
   0.51410,   0.48861,  -0.67305,   0.17418,   0.78631,   0.34545,  -0.44535,   0.48104,  -0.43273,   0.17651
